Theta,A-X (meter),A-Y (meter),B-X (meter),B-Y (meter),C-X (meter),C-Y (meter),D-X (meter),D-Y (meter),D0-X (meter),D0-Y (meter),A-X Vel (meter/sec),A-Y Vel (meter/sec),B-X Vel (meter/sec),B-Y Vel (meter/sec),C-X Vel (meter/sec),C-Y Vel (meter/sec),D-X Vel (meter/sec),D-Y Vel (meter/sec),D0-X Vel (meter/sec),D0-Y Vel (meter/sec),A-X Acc (meter/sec**2),A-Y Acc (meter/sec**2),B-X Acc (meter/sec**2),B-Y Acc (meter/sec**2),C-X Acc (meter/sec**2),C-Y Acc (meter/sec**2),D-X Acc (meter/sec**2),D-Y Acc (meter/sec**2),D0-X Acc (meter/sec**2),D0-Y Acc (meter/sec**2)
1.68600027,-0.030348999,-0.003511875,-0.048325203,0.086427416,0.288664537,0.181015531,0.295563736,0.166249883,-0.044728217,0.068439558,0.011032459,-0.095402655,0.02594131,-0.092421143,-0.154845166,0.551667109,-0.161470404,0.548583001,0.02295954,-0.093017446,0.299704869,0.034660813,0.187834872,0.009718349,-1.12119713,-0.058009384,-1.084592353,-0.037352428,0.210208871,0.014706842
1.738391672,-0.030123592,-0.00509638,-0.047866806,0.084889192,0.285928339,0.190197282,0.292722172,0.175383041,-0.044316418,0.066892077,0.01600549,-0.094694891,0.028439223,-0.092203676,-0.171807507,0.54970998,-0.17585399,0.547449418,0.025754231,-0.092733399,0.29748244,0.050284441,0.187149888,0.01988301,-1.117817035,-0.126814893,-1.082033901,-0.096088119,0.209416489,0.024692194
1.790782744,-0.029815571,-0.006666916,-0.047356646,0.0833583,0.282883162,0.199335262,0.289581633,0.184477823,-0.043846685,0.065353257,0.020943939,-0.093726779,0.032150424,-0.091550189,-0.191908291,0.546458263,-0.197333614,0.544037059,0.029909459,-0.091987083,0.293045372,0.065642969,-0.003145929,0.014056582,-0.595113938,-0.285734493,0.031314556,-0.117367229,-0.003366512,0.014303119
1.843173385,-0.02942578,-0.008219178,-0.046795507,0.081839274,0.279533694,0.208402417,0.286146679,0.193506879,-0.043319816,0.063827583,0.025820335,-0.092502167,0.035179996,-0.090710989,-0.209989113,0.541441027,-0.214829057,0.539328839,0.03330881,-0.091072097,0.290593976,0.081120184,0.179891946,0.05720311,-1.073281291,-0.343261113,-1.038828644,-0.323282001,0.202121035,0.0616946
1.895563496,-0.028955287,-0.009748913,-0.046184582,0.080336527,0.275887046,0.217372399,0.282424323,0.20244361,-0.042736978,0.062319439,0.03062596,-0.091024011,0.038127374,-0.089611044,-0.227575872,0.534867491,-0.231838383,0.533049886,0.036628419,-0.089897893,0.285949543,0.096217993,0.173685238,0.0747501,-1.03609771,-0.445206136,-1.001593211,-0.430041117,0.196133525,0.079175233
1.94795298,-0.028405382,-0.011251926,-0.045525467,0.078854344,0.271952751,0.226219634,0.278424039,0.211262235,-0.042099705,0.06083309,0.035347638,-0.089296366,0.040964787,-0.088250786,-0.24450712,0.526749891,-0.248192651,0.525201847,0.039842899,-0.088464068,0.280522431,0.111052192,0.166641036,0.089073575,-0.994048011,-0.531434223,-0.959760062,-0.515784986,0.189442717,0.093480777
2.000341744,-0.027777571,-0.012724098,-0.044820165,0.077396869,0.267742761,0.234919386,0.274157751,0.219937852,-0.041409901,0.059372676,0.039972411,-0.08732397,0.04365681,-0.086622957,-0.260589166,0.5170629,-0.263676516,0.515738615,0.042919765,-0.08676242,0.274329896,0.125582726,0.160705475,0.096921703,-0.956034406,-0.586557169,-0.925344367,-0.559985016,0.183890362,0.10133995
2.052729697,-0.027073577,-0.014161395,-0.044071083,0.075968092,0.263271451,0.243447838,0.26963984,0.228446515,-0.040669837,0.057942195,0.044487642,-0.085112221,0.046204777,-0.084788049,-0.275796531,0.506106109,-0.278303462,0.505045137,0.045861426,-0.08485284,0.267377679,0.139767355,0.147534722,0.11727118,-0.880709704,-0.699799411,-0.845597753,-0.684759505,0.171493315,0.121798965
2.105116753,-0.026295328,-0.015559876,-0.043281036,0.074571836,0.258555615,0.251782169,0.264887133,0.23676531,-0.039882149,0.056545494,0.048880933,-0.082667185,0.048570222,-0.082725603,-0.289916093,0.493795427,-0.291837435,0.492987379,0.048632438,-0.082713871,0.259696732,0.153569828,0.13601338,0.130249355,-0.811881964,-0.777445419,-0.776619231,-0.762376487,0.160749775,0.134914008
2.157502827,-0.025444957,-0.016915709,-0.042453241,0.073211744,0.253614459,0.25990064,0.259918901,0.24487244,-0.039049839,0.055186253,0.053140245,-0.079995565,0.050730514,-0.080450385,-0.302811086,0.480214683,-0.30414227,0.47965704,0.051212531,-0.080359368,0.251303909,0.16695136,0.122980569,0.142657116,-0.734089482,-0.85150978,-0.698507581,-0.836533311,0.14864493,0.147516536
2.209887841,-0.024524795,-0.018225177,-0.041591318,0.071891259,0.248469589,0.267782686,0.254756838,0.252747314,-0.038176268,0.053867972,0.057253903,-0.077104683,0.052661612,-0.077974672,-0.314338026,0.465437155,-0.315073082,0.465129325,0.053580139,-0.077800616,0.242222279,0.179875291,0.10851278,0.154298883,-0.647731699,-0.921002392,-0.611752725,-0.906004679,0.135254341,0.159414751
2.26227172,-0.023537365,-0.019484691,-0.040699284,0.070613616,0.24314499,0.275409013,0.249425037,0.260370644,-0.037265155,0.052593955,0.061210632,-0.074002462,0.054339778,-0.075311735,-0.324355207,0.449542062,-0.324486985,0.449485312,0.055714015,-0.075049818,0.232476735,0.192306195,0.092632743,0.165113428,-0.552944295,-0.985557881,-0.516504991,-0.970429229,0.12060117,0.170552585
2.314654395,-0.022485373,-0.020690799,-0.039781551,0.069381816,0.237666987,0.282761698,0.24394995,0.267724542,-0.03632057,0.051367293,0.064999587,-0.070697405,0.055741752,-0.072475892,-0.332723794,0.43261485,-0.332244232,0.432812236,0.057593382,-0.072120127,0.222093989,0.204210001,0.075376122,0.175036865,-0.449940168,-1.044795018,-0.412994459,-1.029429573,0.104719292,0.180872115
2.367035801,-0.021371702,-0.021840194,-0.038842909,0.068198614,0.232064183,0.289824297,0.23836032,0.27479263,-0.035346923,0.050190853,0.068610383,-0.067198571,0.056845009,-0.069482541,-0.339309333,0.41474743,-0.338209765,0.415203731,0.059198143,-0.069025674,0.211102498,0.215554082,0.056796063,0.184003197,-0.339036518,-1.098320003,-0.301558123,-1.082615861,0.087656913,0.190314016
2.419415879,-0.020199405,-0.022929728,-0.037888519,0.0670665,0.226367372,0.296581951,0.232687088,0.281560142,-0.034348951,0.049067254,0.072033123,-0.063515551,0.05762809,-0.066348191,-0.343983746,0.396038345,-0.342255251,0.396759998,0.060509152,-0.065781585,0.19953239,0.226307344,0.036968539,0.191945196,-0.220686804,-1.145731628,-0.182671794,-1.129591205,0.069480838,0.198818287
2.471794574,-0.018971695,-0.023956412,-0.036923885,0.065987678,0.220609413,0.303021502,0.226963261,0.28801404,-0.033331701,0.04799886,0.075258424,-0.05965844,0.058071039,-0.063090477,-0.346627901,0.376592835,-0.344261695,0.377587852,0.061508567,-0.062403985,0.187415377,0.236440314,0.015998394,0.198795714,-0.095516808,-1.186629131,-0.056985902,-1.169959781,0.050281284,0.206325312
2.524171838,-0.017691937,-0.024917434,-0.035954827,0.064964049,0.214825053,0.3091316,0.221223727,0.294143118,-0.032300504,0.046987753,0.078277448,-0.055637808,0.058155928,-0.059728135,-0.347134797,0.356522741,-0.344122661,0.357800619,0.062180279,-0.058909979,0.174784672,0.245925217,-0.005974171,0.204489559,0.035636694,-1.220623357,0.074636359,-1.203338199,0.030177056,0.212777381
2.576547627,-0.016363639,-0.025810158,-0.034987445,0.063997195,0.209050695,0.314902811,0.215505017,0.299938112,-0.031260939,0.046035724,0.081081918,-0.051464678,0.057867509,-0.056280956,-0.34541341,0.335946186,-0.341748137,0.337517807,0.062510433,-0.055317604,0.161674895,0.254736056,-0.028767169,0.208966041,0.171687526,-1.24735191,0.211081408,-1.229370782,0.009320666,0.218120737
2.628921905,-0.014990442,-0.026632139,-0.034028064,0.063088356,0.203324095,0.320327719,0.209844997,0.305391798,-0.030218794,0.045144257,0.083664149,-0.047150486,0.057193952,-0.052769682,-0.341393132,0.314986977,-0.337068983,0.316864485,0.062488029,-0.051645741,0.148121978,0.262848682,-0.052151166,0.212172258,0.311266298,-1.266498734,0.350952516,-1.247749186,-0.01209715,0.222308225
2.681294639,-0.013576108,-0.027381123,-0.033083172,0.062238424,0.197683982,0.325401013,0.204282474,0.310499074,-0.029180014,0.044314515,0.086017062,-0.042707058,0.056127677,-0.049215845,-0.335028707,0.293773632,-0.330041856,0.295970299,0.062105586,-0.047913981,0.134163069,0.270240858,-0.075845396,0.214067145,0.452697274,-1.27781828,0.492547958,-1.258236509,-0.033844349,0.225302539
2.733665805,-0.012124516,-0.028055058,-0.032159343,0.061447924,0.19216959,0.330119552,0.198856729,0.315257028,-0.028150632,0.043547328,0.088134208,-0.038146573,0.054666216,-0.04564153,-0.326305401,0.272437976,-0.320654347,0.274968055,0.061359841,-0.044142426,0.119836428,0.276892322,-0.099516907,0.214626181,0.593993202,-1.281163566,0.633857204,-1.260695178,-0.055646914,0.227080003
2.786035381,-0.010639644,-0.028652095,-0.031263141,0.060717012,0.186820111,0.334482408,0.193606956,0.319664976,-0.027136696,0.042843191,0.090009785,-0.033481531,0.052813063,-0.042069056,-0.315244061,0.25111325,-0.308929981,0.253991815,0.060252428,-0.040351435,0.105181324,0.282784843,-0.12278405,0.213846489,0.73287616,-1.276516645,0.772583041,-1.255117148,-0.077191671,0.227634663
